title,author,journal,volume,number,pages,year,cite_id,cites
"Biological control of symphylid pests in a commercial chrysanthemum (Dendranthema grandiflora) crop using the fungus Purpureocillium lilacinum, strain UdeA0106","DA Salazar-Moncada, J Morales-Muñoz, N Cardona-Bustos",Revista Facultad Nacional de Agronomía Medellín,73,(1),9057-9064,2020,,
Generalized Bivariate Kummer-Beta Distribution,"DK Nagar, E Zarrazola, JS Morales",Ingeniería y ciencia,16,(32),7-31,2020,,
La investigación está más interesada en publicar que en conocer,"L Atehortúa, ED Gómez",Revista Universidad de Antioquia,,,74-79,2020,,
"Description of six new large species of Argentinomyia Lynch-Arribálzaga, 1891 and redescription of Talahua fervida (Fluke, 1945)(Diptera, Syrphidae, Syrphinae)","AL Montoya, M Wolff",ZooKeys,929,,19,2020,,
Refracciones y reflexiones simultáneas en estimación de velocidades mediante tomografía basada en rayos,"CDZ Herrera, JCM Cuartas",Revista EIA,17,(33),10,2020,,
"Synthetic Peptide ΔM4-Induced Cell Death Associated with Cytoplasmic Membrane Disruption, Mitochondrial Dysfunction and Cell Cycle Arrest in Human Melanoma Cells","GA Santa-González, E Patiño-González, M Manrique-Moreno",Molecules,25,(23),5684,2020,,
"Correction: Jaramillo, F.; et al. Priorities and interactions of sustainable development goals (SDGs) with focus on Wetlands. Water 2019, 11, 619","J Fernando, A Desormeaux, J Hedlund, J Jawitz, N Clerici, L Piemontese, ...",MDPI,,,,2020,,
"Correction: Jaramillo, F.; et al. Priorities and Interactions of Sustainable Development Goals (SDGs) with Focus on Wetlands. Water 2019, 11, 619","F Jaramillo, A Desormeaux, J Hedlund, JW Jawitz, N Clerici, ...",Water,12,(1),88,2020,,
"Priorities and Interactions of Sustainable Development Goals (SDGs) with Focus on Wetlands (vol 619, 11, 2019)","F Jaramillo, A Desormeaux, J Hedlund, JW Jawitz, N Clerici, ...",WATER,12,(1),,2020,,
Evaluation of runs of homozygosity and genomic inbreeding in Holstein cattle from Colombia,"MFB Zambrano, JCR Flórez, ACH Rios, CES Portilla, GJB Berrio",Semina: Ciências Agrárias,41,(6Supl2),3397-3418,2020,,
A new species of Oryctanthus (Loranthaceae) from Colombia,F ALZATE-GUARÍN,Phytotaxa,470,(2),186-193,2020,,
"Antileishmanial and cytotoxic activities of four Andean plant extracts from Colombia, Veterinary World, 13 (10): 2178-2182","W Cardona-G, S Robledo, F Alzate, AF Yepes, C Hernandez, ID Velez, ...",Abstract,,,,2020,,
Somatic Embryogenesis for Clonal Propagation and Associated Molecular Studies in Cacao (Theobroma cacao L.),"AM Henao-Ramírez, AI Urrea-Trujillo",Agricultural,,,,2020,,
Transformation of Brewery Subproducts into Valuable Biomass Using Mixotrophic Culture of Chlorella pyrenoidosa and Associated Bacteria,"ND Giraldo, RJR Buchelly, DE Hincapié, L Atehortua",Brazilian Archives of Biology and Technology,63,,,2020,,
Identificación de pagos de APC por parte de las instituciones de educación superior (IES) colombianas. Énfasis en las pertenecientes al Consorcio Colombia,"G Vélez, D Restrepo, A Uribe-Tirado, G Gutiérrez, O Zapata, C Pallares, ...",,,,,2020,,
Simulating the galactic system in interaction AM 2229-735 and the formation of its polar structure,"LF Quiroga, JC Muñoz-Cuartas, I Rodrigues, NI Libeskind",Monthly Notices of the Royal Astronomical Society,491,(2),1887-1900,2020,,
TP53 pathogenic variants related to cancer,"CY Rosero, LG Mejia, M Corredor",BAG. Journal of Basic and Applied Genetics,,,,2019,,
Large-Z limit in atoms and solids from first principles,"J Lehtomäki, O Lopez-Acevedo",The Journal of chemical physics,151,(24),244101,2019,,
arXiv: Combining gravitational and electromagnetic waves observations to investigate the Hubble tension,"BYDV Mazo, AE Romano, MA Carvajal",,,,,2019,,
Combining gravitational and electromagnetic waves observations to investigate the Hubble tension,"BYDV Mazo, AE Romano, MA Carvajal",arXiv preprint arXiv:1912.12465,,,,2019,,
Productos de alto valor agregado a partir de la tusa de palma de aceite,"J Laverde, N Pino, A Escobar, M Peñuela, J Gallego, M Titirici, D López",Revista Palmas,40,(Especial T),119-128,2019,,
Gang confrontation: the case of Medellin (Colombia),"JD Botero, W Guo, G Mosquera, A Wilson, S Johnson, GA Aguirre-Garcia, ...",PloS one,14,(12),e0225689,2019,,
A Novel Mesoporous Carbon as Potential Conductive Additive for a Li-Ion Battery Cathode,"V Vélez, B López, R Palacio, L Sierra",C—Journal of Carbon Research,5,(4),81,2019,,
"Feeding habits of the Atlantic Cutlass fish Trichiurus lepturus in the Urabá Gulf, Colombian Caribbean","S Arenas-Uribe, J Leal-Flórez, A Sandoval, AF Pérez Villa, ...",Biota colombiana,20,(2),59-75,2019,,
"New record of Oryctanthus grammatus (Loranthaceae), a parasitic plant known only from the type collection","I Carmona-Gallego, JS Murillo-Serna, FJ Roldan-Palacio, F Alzate-Guarin",Revista de la Academia Colombiana de Ciencias Exactas,,,Físicas y Naturales …,2019,,
Antifungal protein determination for submerged cultures of the medicinal mushroom Ganoderma lucidum (Ganodermataceae) with activity over the phytopathogen fungus Mycosphaerella …,"MA Arias-Londoño, PA Zapata-Ocampo, AR Mosquera-Arevalo, ...",Actualidades Biológicas,41,(111),53-64,2019,,
Grinding methods effects on the synthesis of Potassium-Sodium Niobate powders by oxide mixing,"MC Quintero, M Rincón, JM Osorio-Guillén, D López, FA Londoño",TecnoLógicas,22,(46),20-28,2019,,
arXiv: Production of primordial black holes induced by the modification of gravity,"SA Vallejo-Pena, AE Romano",,,,,2019,,
"A pilot study of habitat use and population characteristics of the big-headed Amazon river turtle, Peltocephalus dumerilianus (Schweigger 1812), during the dry season in the …","KD Parra-Henao, VP Páez, M Morales-Betancourt, CA Lasso",Herpetology Notes,12,,1113-1120,2019,,
Biodiversidad 2018. Reporte de estado y tendencias de la biodiversidad continental de Colombia,"O Acevedo-Charry, M Aguilar-Garavito, J Almeira, N Alvarado, ...",Citación de obra completa sugerida: Moreno,,,,2019,,
DSC studies on the interaction of lipophilic cytarabine prodrugs with DMPC multilamellar vesicles,"JFB Escobar, DMM Fernandez, C Giordani, F Castelli, MG Sarpietro",Journal of Thermal Analysis and Calorimetry,138,(4),2759-2767,2019,,
Métricas de Vinculación Universidad-Entorno: Universidad de Antioquia (Metrics for University Linkage with the Environment: Universidad De Antioquia),"G Velez Cuartas, D Restrepo, A Uribe-Tirado, J Ochoa-Gutiérrez, ...",Available at SSRN,3481925,,,2019,,
Capacity of Histoplasma capsulatum to Survive the Composting Process,"LF Gómez Londoño, LC Pérez León, JG McEwen Ochoa, ...",Applied and Environmental Soil Science,2019,,,2019,,
Genetic Regulatory Mechanisms Underlying Developmental Shifts in Plant Evolution,"VS Di Stilio, A Becker, N Pabón-Mora",Frontiers Media SA,,,,2019,,
"Screening of the UV absorption capacity, proximal and chemical characterization of extracts, and polysaccharide fractions of the Gracilariopsis tenuifrons cultivated in Colombia","Y Monsalve-Bustamante, S Rincón-Valencia, J Mejía-Giraldo, ...",Journal of Applied Pharmaceutical Science,9,(10),103-109,2019,,
"Construction of a Compact, Fully Automatic non-linear Absorption Spectrometer to Measure the Two-Photon Absorption Coefficient","H Garcia, J Serna, E Rueda",arXiv preprint arXiv:1909.09933,,,,2019,,
Efectos de los métodos de molienda en la síntesis de polvos de Niobato de Sodio y Potasio por mezcla de óxidos,"MC Quintero, M Rincón, JM Osorio-Guillén, D López, FA Londoño-Badillo",Instituto Tecnológico Metropolitano (ITM),,,,2019,,
Green extraction of nutritional and antioxidant valuable compounds from wine by-products,"FJ Barba, B Gómez, GI Denoya, M Brnčić, S Rimac-Brnčić, JM Lorenzo, ...",Green Extraction and Valorization of By-Products from Food Processing,,,201-214,2019,,
Sintesis de zeolita beta en presencia de metales alcalinos [Na. sup.+] y [K. sup.+] y su evaluacion en hidrocraqueo de gasoleo de vacio.,"C Manrique, A Guzmán, A Echavarria",Revista Tecnica,42,(3),135-143,2019,,
Effect of the Euclidean dimensionality on the energy transfer up-conversion luminescence,"L Mejía, CZ Hadad",Journal of Photochemistry and Photobiology A: Chemistry,382,,111908,2019,,
